20529,Львовская область
20530,Закарпатская область
20531,Тернопольская область
20532,Ивано-Франковская область
20533,Черновицкая область
20534,Ровенская область
20535,Хмельницкая область
20536,Донецкая область
20537,Днепропетровская область
20538,Харьковская область
20539,Запорожская область
20540,Луганская область
20541,Одесская область
20543,Николаевская область
20542,Херсонская область
20544,Киевская область
20545,Винницкая область
20546,Черкасская область
20547,Житомирская область
20548,Кировоградская область
20549,Полтавская область
20550,Волынская область
20551,Черниговская область
20552,Сумская область
115092,Крым
977,Крым
