126,Аарау,105185
20741,Аба,113885
10536,Абадан,112733
225,Абаза,11339
225,Абазинский район,101787
159,Абай,29532
20741,Абакалики,113908
225,Абакан,1095
21156,Абанкай,110885
225,Абанский район,100140
137,Абасири,20731
225,Абатский район,99972
95,Абботсфорд,103586
10102,Абботтабад,114003
124,Абвиль,112151
225,Абдулино,20031
225,Абдулинский район,99578
20733,Абенгуру,111837
20741,Абеокута,113903
102,Аберайрон,105050
102,Абердин,10388
84,Абердин (Штат Вашингтон),21514
84,Абердин (Штат Миссисипи),113347
84,Абердин (Штат Мэриленд),103420
84,Абердин (Штат Южная Дакота),113639
21331,Абеше,111420
225,Абзелиловский район,99667
20733,Абиджан,20734
84,Абилин,103160
102,Абингдон,101591
84,Абингдон,109776
225,Абинск,20183
225,Абинский район,99265
205,Абруццо,104213
210,Абу-Даби,11498
1056,Абу-Симбел,62419
20741,Абуджа,20742
10540,Абха,114146
225,Абыйский район,100348
983,Аванос,106478
21574,Аваруа,21575
10023,Авбари,112951
120,Августов,106322
187,Авдеевка,28837
10074,Авейру,101578
84,Авенель,102862
127,Авеста,114285
204,Авила,114250
204,Авилес,109262
102,Авимор,109495
124,Авиньон,109096
20741,Авка,113886
84,Аврора (Штат Иллинойс),108637
84,Аврора (Штат Колорадо),102617
84,Аврора (Штат Орегон),103345
983,Авсаллар,17309
211,Австралийская столичная территория,21766
10020,Агадир,20745
225,Агаповка,11194
225,Агаповский район,100003
994,Агартала,112630
994,Агатти,112596
167,Агдам ,105889
167,Агдамский район,105818
167,Агдаш,105890
167,Агдашский район,105819
167,Агджабеди,105891
167,Агджабединский район,105820
225,Агидель,37172
225,Агинский район,102435
246,Агиос-Николаус,16753
206,Аглонский край,108692
994,Агра,20761
205,Агридженто,112813
246,Агринион,112454
983,Агры,103851
225,Агрыз,20012
225,Агрызский район,99743
20764,Агуадилья,20766
20271,Агуаскальентес,105684
225,Агульский район,99310
84,Ада,113397
84,Ада Тауншип,102780
206,Адажский край,108701
84,Адак Айленд,113505
125,Адамов ,106967
225,Адамовский район,99579
983,Адана,11501
983,Адапазары,103843
20768,Аддис-Абеба,20771
84,Аддисон,109779
211,Аделаида,20774
21551,Аден,41480
95,Аджакс,103590
167,Аджигабул,105892
167,Аджикабулский район,105821
983,Аджипаям,107935
210,Аджман,41195
994,Аджмер,112555
983,Адильджеваз,104733
20741,Адо,113913
20826,Адрар,110960
84,Адриан,103349
225,Адыге-Хабльский район,99378
225,Адыгейск,11005
983,Адыяман,103893
124,Ажен,112141
124,Азбрук,112076
225,Азнакаево,11120
225,Азнакаевский район,99744
225,Азов,11030
225,Азовский Немецкий Национальный район,100212
225,Азовский район,99408
10074,Азорские острова,21617
994,Аиджал,112563
21574,Аитутаки,111830
983,Айбасты,108094
983,Айваджик,108012
983,Айвалык,104724
84,Айдахо-Фолс,103090
983,Айдын,103845
983,Айдынджык,107786
96,Айзенах,112239
113,Айзенштадт,20781
206,Айзкраукле,104952
206,Айзкраукльский край,104233
96,Айзлинген ,112408
206,Айзпуте,108796
206,Айзпутский край,108694
84,Айкен,109782
84,Айл оф Палмс,110192
1056,Айн Сохна,108933
20826,Айн-Салах,110979
20826,Айн-Темушент,110973
84,Айова Сити,102933
84,Айрон Маунтин,113577
84,Айрон Ривер,113379
84,Айронвуд,113656
84,Айронтон,103398
225,Айхал,105434
20574,Айя-Напа,20784
225,Ак-Довурак,36079
10535,Акаба,20792
20271,Акапулько,20800
21184,Акаригуа,114498
225,Акбулак,21716
225,Акбулакский район,99580
205,Аквино,112858
124,Аквитания,104361
84,Акворт,109777
983,Акдагмадени,107793
119,Акерсхус,104323
159,Акжал,29534
187,Акимовский район,24481
94,Акирас,109444
137,Акита,112870
159,Акколь,29418
20802,Аккра,20803
20790,Аккуавива,105642
159,Акмолинская область,29403
206,Акнисте,108798
206,Акнистский край,108695
994,Акола,112560
983,Акпынар,108084
10064,Акранес,4127
84,Акрон,102670
225,Аксай,11031
159,Аксай,29520
225,Аксайский район,99409
983,Аксарай,103834
167,Акстафа,105893
167,Акстафинский район,105822
983,Аксу,17305
159,Аксу,29580
134,Аксу,111583
225,Аксубаевский район,99745
225,Актанышский район,99746
159,Актау,29575
983,Актепе,107811
159,Актобе,20273
159,Актюбинская область,29404
20271,Акумаль,109678
20741,Акуре,113900
10064,Акурейри,4063
84,Акутан,113650
225,Акушинский район,99311
983,Акхисар,104729
983,Акчаабат,104781
983,Акчадаг,108031
983,Акчай,106011
983,Акчакале,104730
983,Акчакоджа,108062
983,Акшехир,104728
225,Акшинский район,100415
983,Акьюрт,106482
225,Алагир,20591
225,Алагирский район,99386
94,Алагоиньяс,111238
983,Аладжа,108113
84,Алаканек,113372
84,Аламида,109783
84,Аламо,109784
84,Аламогордо,109785
84,Аламоса,113628
123,Аландские острова,104360
124,Алансон,112125
983,Аланья,11502
225,Алапаевск,20695
983,Алаплы,107989
225,Аларский район,98673
225,Алатырский район,99897
225,Алатырь,20073
21131,Алахуэла,109377
983,Алачам,107890
983,Алашехир,104727
10077,Алба ,105304
10077,Алба-Юлия,105361
211,Албани,111028
115,Албена,10378
84,Албион,113766
10074,Албуфейра,101595
994,Алвар,112584
84,Алвин,103418
159,Алга,29437
225,Алдан,11432
225,Алданский район,100349
127,Але,114358
84,Алегзандрия,113382
84,Аледо,113282
119,Алезунд,100949
225,Алейск,11234
225,Алейский район,100034
84,Александер Сити,113714
187,Александрийский район,24537
1056,Александрия,11484
187,Александрия,28865
10077,Александрия,105383
84,Александрия (Штат Вирджиния),102611
84,Александрия (Штат Луизиана),113219
225,Александров,10656
225,Александров Гай,11142
225,Александрово-Гайский район,99813
225,Александрово-заводский район,100416
187,Александровск,103822
225,Александровск (Александровский район),20653
225,Александровск (Мурманская область),110927
225,Александровск-Сахалинский,11444
225,Александровск-Сахалинский городской округ,100381
225,Александровский район (Владимирская область),98745
187,Александровский район (Донецкая область),24433
187,Александровский район (Кировоградская область),24536
225,Александровский район (Оренбургская область),99581
225,Александровский район (Пермский край),100462
225,Александровский район (Ставропольский край),99451
225,Александровский район (Томская область),100273
120,Александрув-Куявски,106323
120,Александрув-Лодзинский ,106325
246,Александруполис,109163
225,Алексеевка (Алексеевский район),20192
225,Алексеевка (Алексеевский район),98566
225,Алексеевский район (Белгородская область),98697
225,Алексеевский район (Волгоградская область),99232
225,Алексеевский район (Республика Татарстан),99747
225,Алексеевский район (Самарская область),99786
225,Алексин,10825
225,Алексинский район,99041
96,Ален (Баден-Вюртемберг),112213
96,Ален (Северный Рейн-Вестфалия),112267
124,Алес ,112096
205,Алессандрия,111972
225,Алеутский район,100309
20826,Алжир,20828
225,Алзамай,37170
983,Алиага,104726
994,Алигарх,112605
204,Аликанте,20835
225,Аликовский район,99898
127,Алингсос,114322
211,Алис-Спрингс,20839
117,Алитус,108126
117,Алитусский уезд,104259
84,Алиф,102906
84,Алкоа,109786
225,Аллаиховский район,100350
994,Аллахабад,10554
84,Аллен,109788
84,Аллентаун,101513
102,Аллоа,105024
10074,Алмада,100537
187,Алмазная,106005
171,Алмалык,10328
159,Алматинская область,29406
159,Алматы,162
225,Алнашский район,99851
206,Алойский край,108696
10097,Алор-Сетар,113000
20739,Алотау,94078
98542,Алофи,98543
206,Алоя,108799
114,Алст,111179
206,Алсунгский край,108697
94,Алта-Флореста,111327
134,Алтай,20842
10099,Алтай,113059
225,Алтайский край,11235
225,Алтайский район (Алтайский край),100035
225,Алтайский район (Республика Хакасия),100265
94,Алтамира,111338
84,Алтуна,102763
84,Алтус,109790
983,Алтынова (Провинция Балыкесир),107905
983,Алтынова (Провинция Ялова),108121
206,Алуксне,101507
206,Алуксненский край,104234
225,Алушта,11471
187,Алчевск,24885
210,Аль-Айн,109035
10023,Аль-Байда,112952
204,Альбасете,114246
84,Альбемарл,103080
205,Альбенга,112832
124,Альбервиль,112111
84,Альберт-Ли,113602
124,Альби,112117
84,Альбион,113328
84,Альбукерке,20845
84,Альварадо,109791
120,Альверня,106324
205,Альгеро,112845
225,Алькеевский район,99748
95,Альма,111359
225,Альменевский район,99918
204,Альмерия,101453
225,Альметьевск,11121
225,Альметьевский район,99749
96,Альсфельд,112186
119,Альта,101490
205,Альтамура,112833
126,Альтдорф,105200
96,Альтдорф-Нюрнберг,112429
96,Альтенбург,112424
84,Альфаретта,102705
204,Альфас-дель-Пи,109306
204,Альхемеси,101697
96,Альценау,112342
225,Альшеевский район,99668
983,Алячаты,107781
20741,Амайгбо,113910
137,Амамиосима,112922
84,Амарилло,102982
983,Амасья,103852
206,Аматский край,108698
20785,Амбато,111886
96,Амберг,112236
10095,Амбон,20853
124,Амбуаз,109087
187,Амвросиевка,28868
187,Амвросиевский район,24421
225,Амгинский район,100351
225,Амдерма,10903
10095,Амед,97232
84,Амери,113483
84,Америкус,113502
84,Амес,103193
10535,Амман,11494
10536,Амоль,112728
84,Амори,113476
205,Аморози,114689
10109,Ампара,114259
204,Ампоста,114254
994,Амравати,112598
994,Амритсар,112545
118,Амстердам,10466
225,Амурск,11451
225,Амурская область,11375
225,Амурский район,100398
84,Амхерст (Штат Массачусетс),103148
84,Амхерст (Штат Нью-Йорк),108614
113,Амштеттен,111164
124,Амьен,105072
20572,Ан-Наджаф,112764
21330,Анаа Атолл,112178
225,Анабарский район,100352
225,Анадырский район,98691
225,Анадырь,11458
246,Аналипсис,109228
983,Анамур,104725
994,Анантапур,112619
187,Ананьев,28888
187,Ананьевский район,24629
225,Анапа,1107
94,Анаполис,111280
84,Анахайм,102788
134,Анбу,111719
225,Ангарск,11256
225,Ангарский район,100094
84,Англтон,109795
84,Ангола,113224
21235,Ангоше,113083
10074,Ангра-ду-Эроишму,113138
94,Ангра-дус-Рейс,109443
171,Ангрен,101550
20739,Ангуганак,114072
124,Ангулем,112138
134,Анда,111757
204,Андалусия,104178
84,Андалусия,113300
994,Андаманские и Никобарские острова,114647
21156,Андауайлас,114080
119,Анденес,113980
84,Андерсон (Штат Индиана),109793
84,Андерсон (Штат Южная Каролина),109794
10108,Анджелес,114102
225,Анджиевский,101831
171,Андижан,10329
171,Андижанская область,105804
10536,Андимешк,112740
84,Андовер,103021
135,Андон,47136
10088,Андорра-ла-Велья,10524
225,Андреаполь,26480
